symbol,company,industry,tier,price,change_pct,high_52w,low_52w,high_200d,low_200d,from_52w_high_pct,ema20,ema200,above_ema200,rsi14,macd,macd_signal,macd_hist,vol_vs_avg20,consec_days,history_days
RCF,Rashtriya Chemicals and Fertilizers Limited,,2,108.5,0.99,149.86,105.37,146.25,105.37,-27.6,113.08,127.02,False,29.42,-3.594,-3.322,-0.272,0.56,2,251
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,1,1081.7,0.98,1309.49,893.92,1225.64,893.92,-17.4,1087.58,1113.23,False,47.34,-6.12,-5.088,-1.031,1.28,1,251
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,1,165.38,0.98,206.77,124.76,206.77,136.32,-20.02,171.66,163.21,True,42.44,-0.835,0.763,-1.598,0.51,1,252
HCC,Hindustan Construction Company Limited,,2,21.77,0.97,29.46,13.73,27.83,13.73,-26.1,22.36,22.39,False,44.98,-0.112,0.133,-0.245,0.43,2,252
AAVAS,Aavas Financiers Ltd.,Financial Services,1,1282.5,0.96,1736.4,1073.9,1569.2,1073.9,-26.14,1304.53,1403.51,False,39.95,-26.881,-30.056,3.175,0.46,1,249
20MICRONS,20 Microns Limited,,2,203.23,0.96,229.1,132.33,224.8,132.33,-11.29,210.15,195.29,True,44.98,1.985,4.19,-2.205,0.62,1,248
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,1,548.15,0.95,581.77,451.63,574.81,451.63,-5.78,541.12,532.99,True,56.04,9.718,10.112,-0.394,0.54,2,251
BIGBLOC,Bigbloc Construction Limited,,2,39.51,0.95,78.02,38.3,78.02,38.3,-49.36,41.79,50.21,False,29.11,-1.423,-1.334,-0.089,1.12,1,249
DBCORP,D.B.Corp Limited,,2,186.49,0.95,271.35,181.62,254.58,181.62,-31.27,195.54,215.09,False,26.28,-4.988,-3.879,-1.11,0.7,1,249
BANCOINDIA,Banco Products (I) Limited,,2,593.15,0.94,844.24,497.92,727.98,497.92,-29.74,613.66,642.18,False,37.59,-6.555,-5.119,-1.436,1.52,1,249
CMPDI,Central Mine Planning & Design Institute Limited,,2,205.69,0.94,275.18,150.2,275.18,150.2,-25.25,224.05,208.07,False,31.06,-8.608,-5.933,-2.675,0.88,2,121
METROPOLIS,Metropolis Healthcare Limited,,2,586.3,0.94,602.1,420.92,602.1,420.92,-2.62,580.39,530.57,True,54.16,4.697,5.411,-0.715,0.5,2,251
SIS,SIS LIMITED,,2,419.8,0.94,441.5,263.75,441.5,263.75,-4.92,423.15,385.05,True,45.21,-2.12,-1.157,-0.964,1.09,2,250
SIGACHI,Sigachi Industries Limited,,2,29.6,0.92,44.2,16.92,37.93,16.92,-33.03,32.37,27.86,True,42.62,0.823,1.703,-0.88,2.45,1,251
AARTIPHARM,Aarti Pharmalabs Limited,,2,820.4,0.91,925.99,590.52,886.55,590.52,-11.4,824.78,752.48,True,50.75,7.691,17.057,-9.366,3.82,2,251
